Pair,Regime
BHG.JO-HYP.JO,Trend Following
BHG.JO-INL.JO,Trend Following
BHG.JO-INP.JO,Trend Following
BHG.JO-ITE.JO,Trend Following
BID.JO-BLU.JO,Trend Following
BID.JO-BTI.JO,Trend Following
BID.JO-BTN.JO,Trend Following
BID.JO-BVT.JO,Trend Following
BID.JO-BYI.JO,Trend Following
BID.JO-CFR.JO,Trend Following
BID.JO-CLS.JO,Trend Following
BID.JO-CML.JO,Trend Following
BID.JO-COH.JO,Trend Following
BID.JO-CPI.JO,Trend Following
BID.JO-CSB.JO,Trend Following
BID.JO-DCP.JO,Trend Following
BID.JO-DRD.JO,Trend Following
BID.JO-DSY.JO,Trend Following
BID.JO-DTC.JO,Trend Following
BID.JO-EMI.JO,Trend Following
BID.JO-EQU.JO,Trend Following
BID.JO-EXX.JO,Trend Following
BID.JO-FBR.JO,Trend Following
BID.JO-FFB.JO,Trend Following
BID.JO-FSR.JO,Trend Following
BID.JO-FTB.JO,Trend Following
BID.JO-GFI.JO,Trend Following
BID.JO-GLN.JO,Trend Following
BID.JO-GND.JO,Trend Following
BID.JO-GRT.JO,Trend Following
BID.JO-HAR.JO,Trend Following
BID.JO-HCI.JO,Trend Following
BID.JO-HDC.JO,Trend Following
BID.JO-HMN.JO,Trend Following
BID.JO-HYP.JO,Trend Following
BID.JO-IMP.JO,Trend Following
BID.JO-INL.JO,Trend Following
BID.JO-INP.JO,Trend Following
BID.JO-ITE.JO,Trend Following
BLU.JO-BTI.JO,Trend Following
BLU.JO-DRD.JO,Trend Following
BLU.JO-IMP.JO,Trend Following
BOX.JO-BTI.JO,Trend Following
BOX.JO-BTN.JO,Trend Following
BOX.JO-BVT.JO,Trend Following
BOX.JO-BYI.JO,Trend Following
BOX.JO-CFR.JO,Trend Following
BOX.JO-CLS.JO,Trend Following
BOX.JO-CML.JO,Trend Following
BOX.JO-COH.JO,Trend Following
BOX.JO-CPI.JO,Trend Following
BOX.JO-CSB.JO,Trend Following
BOX.JO-DCP.JO,Trend Following
BOX.JO-DRD.JO,Trend Following
BOX.JO-DSY.JO,Trend Following
