Pair,Regime
SAC.JO-SAP.JO,Trend Following
SAC.JO-SBK.JO,Trend Following
SAC.JO-SNT.JO,Trend Following
SAC.JO-SPG.JO,Trend Following
SAC.JO-SSS.JO,Trend Following
SAC.JO-SSU.JO,Trend Following
SAC.JO-SSW.JO,Trend Following
SAC.JO-SUI.JO,Trend Following
SAC.JO-TBS.JO,Trend Following
SAC.JO-TKG.JO,Trend Following
SAC.JO-VKE.JO,Trend Following
SAC.JO-VOD.JO,Trend Following
SAC.JO-WBC.JO,Trend Following
SAP.JO-TGA.JO,Trend Following
SAP.JO-TKG.JO,Trend Following
SAP.JO-VOD.JO,Trend Following
SBK.JO-SLM.JO,Trend Following
SBK.JO-SRI.JO,Trend Following
SBK.JO-VKE.JO,Trend Following
SHC.JO-SRE.JO,Trend Following
SHP.JO-SLM.JO,Trend Following
SHP.JO-SPP.JO,Trend Following
SHP.JO-SRI.JO,Trend Following
SHP.JO-TFG.JO,Trend Following
SHP.JO-WBC.JO,Trend Following
SLM.JO-SOL.JO,Trend Following
SLM.JO-SRI.JO,Trend Following
SLM.JO-SSS.JO,Trend Following
SLM.JO-SSU.JO,Trend Following
SLM.JO-SUI.JO,Trend Following
SLM.JO-TBS.JO,Trend Following
SLM.JO-VKE.JO,Trend Following
SLM.JO-WBC.JO,Trend Following
SNT.JO-SOL.JO,Trend Following
SNT.JO-SRI.JO,Trend Following
SNT.JO-SSS.JO,Trend Following
SNT.JO-SSU.JO,Trend Following
SNT.JO-TBS.JO,Trend Following
SNT.JO-VKE.JO,Trend Following
SNT.JO-WBC.JO,Trend Following
SOL.JO-SSU.JO,Trend Following
SOL.JO-VOD.JO,Trend Following
SPG.JO-SSW.JO,Trend Following
SPG.JO-TKG.JO,Trend Following
SPG.JO-VAL.JO,Trend Following
SPG.JO-VKE.JO,Trend Following
SPG.JO-VOD.JO,Trend Following
SPP.JO-TFG.JO,Trend Following
SRI.JO-TGA.JO,Trend Following
SSS.JO-SSU.JO,Trend Following
SSS.JO-SUI.JO,Trend Following
SSS.JO-TBS.JO,Trend Following
SSS.JO-TKG.JO,Trend Following
SSS.JO-VKE.JO,Trend Following
SSS.JO-VOD.JO,Trend Following
SSS.JO-WBC.JO,Trend Following
SSW.JO-VAL.JO,Trend Following
TBS.JO-VOD.JO,Trend Following
TGA.JO-TKG.JO,Trend Following
TGA.JO-VOD.JO,Trend Following
TGA.JO-WHL.JO,Trend Following
TKG.JO-TSG.JO,Trend Following
TSG.JO-VOD.JO,Trend Following
VKE.JO-VOD.JO,Trend Following
VOD.JO-WHL.JO,Trend Following
